reviews,subjects,ratings,titles
not classify movie horror movie since without specific story however blue elephant mix drama horror romantic watch never regret," Egyptian movie
",10,The Blue Elephant
one rare time attempt write review IMDb consider extremely demanding customer Movie Watcher bear raise classic american well egyptian classic great movie time God Father way Lord Rings matrix movie something special reckon soon later America adopt story base bestselling novel Ahmed Mourad Al Feel Al Azrak translate English Blue Elephant people watch explosive roller coaster real treat movie head cast Egypt arguably popular charismatic star generation Kareem Abd Al Aziz direct genius Marwan Hamid almost year back directorial debut direct time egyptian classic Yacoubian Building rate IMDb year back Blue Elephant tense physcological thriller intense horror take place never think possible egyptian screen thank exceptionally good story line base good selling novel Blue Elephant make huge stir market release enter movie thankfully book justice movie back excellent script present smartly Marwan Hamid yet massive surprise lie finale turn movie different genre together must watch movie nationality one compliment time legendary egyptian cinematography not many outside arab world familiar yet movie bring back egyptian cinema long history true size history go back yet West America never manage understand appreciate Egypt popularly dub Hollywood Middle East Egypt far arab World main Cinema venue addition Music literature well Media Hub appreciate idolize million upon million Middle East part Asia include Iran grow watch egyptian movie tv series even replicate Egypt arabic dialect commonly praise popular form Arabic Arab World yet history legend West come know Omar Sheriff lately Amr Wakid feature alongside Scarlett Johansson recent flick Lucy," Simply Amazing One of the Best Movies Hollywood never produced!!
",10,The Blue Elephant
first rumor movie copy tattooist yes not good egyptian film last decade many flaw visual also flaw good performance ever Kareem abdelaziz Khaled elsawy ordinary well Nelly Kareem first act slowly pace not even necessary second act somehow good third act unbelievable stun story egyptian melodrama first act movie not complex people may assume even third act not much complex movie need support also need criticism order reach improvement movie not Oscar level not deserve Oscar nomination good foreign film end need celebrate film amazing story tell visual effect cinematography direct not see decade," achievement in Egyptian standards but not on the others
",7,The Blue Elephant
literally everyone know watch film keep push watch claim sort cinematic achievement not think bad seriously Egyptians Indians need stop overrate movie make country drive sense patriotism not understand usually lead many unfair rating like blue elephant impressed cinematography not appreciate slow motion scene also background music strongly unrelated scene overall emphasis alcohol addiction seem like exaggeration pacing story place still might one good egyptian movie see exciting new approach egyptian cinema enjoy not belong anywhere near category," I had every right to be skeptical about this one
",6,The Blue Elephant
Blue Elephant novel reegyptian novel cinema nine year since film Yacoubian Building distinct return see novel important beautiful novel introduce last five year hand creator Ahmad Murad start talk scenario Murad could formulate novel scenario tightly manage familiar important accurate detail story not prejudice aim novel meaning able see improve idea draft Joomla talk remarkable highly proportionality language Senymauah introduce pursuant creative extremely difficult new time arab cinema general Marwan Hamed skillfully intelligently transfer write Ahmed Murad silver screen manner unprecedented term output Senymaua interest Marwan careful attention personalitie Graphics give impressive scene safe also take representative image wonderful come film move development stage discovery revive fact could beautiful Omtana really interestingness game camera focus idea body language character point calculate Marwan conscious way prove able portray idea writer manner wonderful focus body language add lot work also add Marwan lot lot place Pachtaarath smart imaging especially place collect salute structure add atmosphere compatible nature film check find even consider accessory Nelly Karim come appropriate work environment whole Kareem AbdulAziz intelligent artist change skin blue elephant make personal New different present able play role brilliantly intelligent not forget scene puzzle salute front front situation constant focus language body around try discover truth time understand Rashid greet wellpresente performance remarkable Khaled El Sawy usual surprised enjoy personal Sheriff Maher Kurdi not fit performance someone else someone else perform Khaled Sawi film least magnitude performance Anthony Hopkins look sharpness eye time calm time Checks find voice Khaled El Sawy change scene noticeable change Scenes beautiful exotic state cohabitation manufacture personal Vgesdtha Screen astonishing performance terrify Nelly Karim embody role Ms Lubna thin beautiful manner quiet sophisticated able portray feeling beloved highlight perfectly scene summit Romance bring mind beautiful romantic time Lebleba three scene Lebleba professorship performance impression know use code personal perform Mohamed Mamdouh try much imagine reading play character possible Sameh Zidane see film not see provide appropriate doctor vindictive wondrously silly make overlook screen without speak personal grim picture Ahmed Murad novel Darren Smith Mohammed Shaheen Shirin Reza Abdatm scene make memorable sight even print viewer mind forever Hisham honest case realize subject prior submission Hisham always music peace snake Tito sleepless night Abraham White thief KGL Toe recently seven commandment see Blue Elephant tune Music appropriate work add music atmosphere vague sense Azad Movie scene note one scene hope film car accident scene death Yahya wife daughter scene add lot figure Yahya basis problem able cream narrative incident sweetheart Lubna arrive Scenes within salute make feel sense Palme greeting appreciation maker wonderful work see upscale response consider egyptian cinema put back track recent decline year," Blue Elephant film work impressive and promising the return of bright literary novel of Cinema
",8,The Blue Elephant
AlFeel AlAzraq not attract arabic movie much actually go see big screen age not regret start great scenario not one unnecessary line Karim Abdel Aziz high peak career Khaled El Sawy literally legendary performance soundtrack montage editing effect CGI film directingall professional PERFECTthat enjoy every scene much not want end picture beautiful even nothing important go scene trust something important go every scene movie intense highly detailed story line keep consume attention till end ending not match every taste big weak point movie give hell proud project ly egyptian restore hope really miss kinda ShutterIsland feel go watch," Whether you read the novel or not, Go watch it, you'll be proud !
",8,The Blue Elephant
great trick Devil ever pull convince world Blue Elephant excellent movie admire cinematography much also direct professional camera angle view although not something new creative director Marwan ham really excel direct movie unfortunately not manage show make feel many deep feeling suppose novel silly not manage transfer character Lobna complicated relation DrYehia suppose sophisticated deep relation fill sorrow depression not feel want see seductive spontaneous scene DrYehia Maya like novel shock watch scene not seductive scene one spontaneous scene nevertheless not bad scene soundtrack music theme splendid really good also not something new Hesham Nazeh whole movie fall scenario bad novel bad weak end seem call ignorance movie compare modern arabic egyptian movie breakthrough even storyline call new artistic movement egyptian movie industry," Random thoughts about the movie.
",5,The Blue Elephant
movie maybe one kind egyptian theater movie contain many goof direct praise Marawan Hamed beautiful mind also goof screenplay not like novel screenplay feel like want quick short screenplay release movie theater gain quick money many thing movie not understand ask anybody tell read movie like watch movie hell need read damn novel soundtrack likely thing movie Hesham Nazih prove masterpiece soundtrack not know maybe egyptian version Hans Zimmer last not least act Karim decent movie Nelly not good Khaled ElSawy awesome movie think ELSawy good actor Egypt one last thing not every movie contain twist ending good movie," Nice directing, soundtrack, acting but bad screenplay
",0,The Blue Elephant
film great egyptian film ever make see film know mean film use camera not egyptian film cast work job well actor actress make role write novel not like ordinary film contain lot mistake film absolutely mistake every thing make high accuracy group good actor Egypt good people make mission achieve well available attainment great work author Ahmed Morad great man great think write novel not good work Cinematographic make proficiently thank," the most great Egyptian film since Ahmed Zakki was dead
",10,The Blue Elephant
may overrated movie ever Calm guy not even close half quality GODFATHERHowever people work movie really hard worker director good ending st hour make lot flashback not necessary soundtrack not suitable scene end soundtrack really great changing ending book really cool love performance Karim Nelly Khaled El Sawy ok expect moreIt good step Egyptian Cinema graphic scene surprise," Good effort but (9.*) ??!!
",6,The Blue Elephant
manage get novel read watch film not sure good thing film really close novel anyways except ending strip unnecessary detail keep movie length possibly ratingthe rest detail exact copy novel except change minor thing wait see credit not get name scenarist assume write novel author film well direct outstanding color decoration average visual effect foreign team however scene could well scene could take altogether would not affect story line much story fiction story talented writer however not tolerate drug alcohol reference would turn story movie overall average happy ending good acting actor character depth except Sameh Yahia colleague hospital hate story well also Maya role could big," If you liked the story you will like the film
",7,The Blue Elephant
first let agree first egyptian movie kind mystery Thriller Demons graphic work much effort make produce movie way watch itthe storyline great much easy understand original novel many confusing scene cut Maya death scene final scene DrYehia find tattoo grow hip scene DrSherif talk demonBut scene first trailer not find movie DrYehia rape Maya ed dmt pill awake hospital httpiimgurcomftdhowjpgbut many advantage make truly recommend watch like soundtrack elite suit every scene directing spectacular make feel like live character Karim Abd El Aziz Khaled El Sawy act good life surely take great effort present character contradiction feeling love story DrYehia Lobna awesome graphic trick deserve seenif egyptian cinema continue path movie sure see many great work bring international award back original place," A huge step for the Egyptian cinema
",5,The Blue Elephant
good egyptian horror Movies arab world Blue Elephant receive mixed review perform well Egyptian Boxoffice Eid time film not follow formula recent slew egyptian comedy yet manage win audience across arab region film gain million egyptian pound approximately million US dollar," from the best egyptain horror Movies
",8,The Blue Elephant
not normal movie hurt mind lot literally lose beauty every scene not sure director cgi actor composer write shock face mind spirit never watch movie much word watch," Magnificent
",8,The Blue Elephant
blue elephant actually make high quality foreign movie amazing graphic storyline highly recommend watch," Well the first egyptian/arabic movie to satisfy audience
",10,The Blue Elephant
good arab thrillir movie sound track perfect," prefiction 👌🏽
",9,The Blue Elephant
great movie Egypt Karim AbdElaziz Khaled ElSawy," Greatest movie from Egypt.
",10,The Blue Elephant
really look forward movie really amazing egyptian film ever produce stuff professional hood immerse watch time leave flash simply exceptional expect deserve presence Oscar clever concept superb actor decent script good direction sensational visual effect edit happen movie start story turn mystery transform thriller Overall acting convincing special effect not distract rather cleverly weave scenesThe acting superb enjoy finally someone know end movie BRAVO," awesome phenomenal Egyptian film
",10,The Blue Elephant
Blue Elephant masterpiece story act effect great sound effect story unique interesting write novel writer Ahmed Mourad also upcoming movie novel acting superb especially Karim Abdel Aziz Khaled El Sawy literally way visualize mind read novel never imagine read novel see Kareem AbdulAziz play role Yahya Rashid difficult character real surprise role difficult opinion not depend apparent emotion convey time feeling fracture not heal life one single hope visual effect good also sound effect amazing stunning one good egyptian movie long time really thank Blue Elephant talented maker," one of the best Egyptian movies
",9,The Blue Elephant
despite fact significant resemblance storyboard Blue Elephant Harry Potter come realize similarity scene Voldemort demise Harry Potter deathly Hallows II Sheriff exorcism Blue Elephant final look shock horror Voldemort face right body completely decay almost Nayel depart Sheriff body probably arrogance constant underestimation enemy climax inability believe mere mortal like Harry Yahia actually bring end also reveal vulnerable truly scene final battle good evil good beat evil Voldemort Nayel evil soul depart host body although differently yet general idea quite furthermore visual effect similarity Sheriff general figure Voldemort brilliant acting Khaled Elsawy throughout whole movie especially specific scene give kind EuropeanAmerican essence moment completely forget story filmmaking entirely egyptian completely honest not expect movie not way much well similar imagine story read book release movie say egyptian director Marwan Hamed ready compete Hollywood director would underestimate matter dramaticallyTo wrap believe movie would well describe unexpected not get wrong though course one movie perfectly visualize book without miss single detail merely direction movie come surprise personally never think ever thriller egyptian movie actually thrill," The movie surprised me!
",10,The Blue Elephant
first write review want mention not watch egyptian movie since year watch movie advise movie level famous Oscar Movies accordingly watch early impression impression advice would not watch go disappoint specially actor way well movie wahe man el nas yaokobian building not level expectation would advise watch somehow interesting movie case nothing else watch second regard review would give point different element Movie would give Karim Khaled Nelly not convincing sound track would give sound level not jump low high may want give suspense effect variation normal high much cinematography would give scene dark poor lighting indeed horror movie say horror movie must poor lighting still remember movie Others scene candle light still scene clear story understand Wikipedia movie base good selling novel honestly not read novel know many time convert novel movie loose lot flavor course time limit story movie not convincing open lot unanswered question sort heavy drug cause hallucination make someone see incident happen past travel time Karim consider really see incident past moment book incident write logical answer incident part unconscious read book retrieve tablet not travel somehow past movie not answer Karim disappear year thesis phd Khaled not meet specially not common subject phd Nelly got divorce easily end movie although not love husband day one example question would find," Excellent actors but poor story.
",5,The Blue Elephant
Blue Elephant novel reegyptian novel cinema nine year since film Yacoubian Building distinct return see novel important beautiful novel introduce last five year hand creator Ahmad Murad start talk scenario Murad could formulate novel scenario tightly manage familiar important accurate detail story not prejudice aim novel meaning able see improve idea draft Joomla talk remarkable highly proportionality language Senymauah introduce pursuant creative extremely difficult new time arab cinema general Marwan Hamed skillfully intelligently transfer write Ahmed Murad silver screen manner unprecedented term output Senymaua interest Marwan careful attention personalitie Graphics give impressive scene safe also take representative image wonderful come film move development stage discovery revive fact could beautiful Omtana really interestingness game camera focus idea body language character point calculate Marwan conscious way prove able portray idea writer manner wonderful focus body language add lot work also add Marwan lot lot place Pachtaarath smart imaging especially place collect salute structure add atmosphere compatible nature film check find even consider accessory Nelly Karim come appropriate work environment whole Kareem AbdulAziz intelligent artist change skin blue elephant make personal New different present able play role brilliantly intelligent not forget scene puzzle salute front front situation constant focus language body around try discover truth time understand Rashid greet well presented performance remarkable Khaled El Sawy usual surprised enjoy personal Sheriff Maher Kurdi not fit performance someone else someone else perform Khaled Sawi film least magnitude performance Anthony Hopkins look sharpness eye time calm time Checks find voice Khaled El Sawy change scene noticeable change Scenes beautiful exotic state cohabitation manufacture personal Vgesdtha Screen astonishing performance terrify Nelly Karim embody role Ms Lubna thin beautiful manner quiet sophisticated able portray feeling beloved highlight perfectly scene summit Romance bring mind beautiful romantic time Lebleba three scene Lebleba professorship performance impression know use code personal perform Mohamed Mamdouh try much imagine reading play character possible Sameh Zidane see film not see provide appropriate doctor vindictive wondrously silly make overlook screen without speak personal grim picture Ahmed Murad novel Darren Smith Mohammed Shaheen Shirin Reza Abdatm scene make memorable sight even print viewer mind forever Hisham honest case realize subject prior submission Hisham always music peace snake Tito sleepless night Abraham White thief KGL Toe recently seven commandment see Blue Elephant tune Music appropriate work add music atmosphere vague sense Azad Movie scene note one scene hope film car accident scene death Yahya wife daughter scene add lot figure Yahya basis problem able cream narrative incident sweetheart Lubna arrive Scenes within salute make feel sense Palme greeting appreciation maker wonderful work see upscale response consider egyptian cinema put back track recent decline year," Blue Elephant W.T.H .....!!!
",10,The Blue Elephant
movie miraculous time machine bring back silly idea exist combine bad act ever sure director hang ridiculous capabilitiesthe really disappointing thing release second part intend see one condition want COMMIT SUICIDE," What a waste of time
",1,The Blue Elephant
boring hell expect cast perfect story regular tired kind story use lot american movie could expect every scene show," I expected more ...
",2,The Blue Elephant
one good egyptian movie tend like american movie exception," A must see
",10,The Blue Elephant
work provide new narration story egyptian horror film love film also staff," Good movie
",9,The Blue Elephant
good movie worth watch especially cold night music nice camera effect good job guy," I like it 😊
",10,The Blue Elephant
beginning evolution real egyptian entertainment," A revolution in our cinematic country
",10,The Blue Elephant
Leteraly one good movie ever watch amazing soundtrack," Perfect and amazing
",10,The Blue Elephant
one great egyptian movie storymusic cinematographyactorsscreenplay everything perfect," Great movie
",10,The Blue Elephant
really love actress ahme mourad good director smart," Very great movie
",10,The Blue Elephant
unique story great production good production Egypt produce far," The best production Egypt has produced to date
",10,The Blue Elephant
good Arabic Hollywood Bollywood last year rd think last Quraan solve," The rare 10/10
",10,The Blue Elephant
great directing amazin music acceptable act unfortunately bad VFXBut still one good movie arabian cinema," One of the best Arabic movies of all time
",8,The Blue Elephant
not even begin point want talk bunch sound visual effect not make film good slow motion not f toy three hour much unprofessional f editor make movie one hour top big budget not reason appreciate movie many indie movie not cost well box office hit not complain actor despite lot problem specially Khaled Elsawy research effort writer not everything make even effort come good exciting story gather information otherwise f point egyptian cinema not need sh movie prove good good director like Ahmed Abdallah generation Daoud Abdel Sayed Mohamed Khan still make good movie finally not read novel not plan guess f overrated boring movie sorry curse much movie ruin perfectly good gathering friend," come on people it's not even a movie..
",1,The Blue Elephant
Blue Elephant good arabic movie ever seenI hope everybody see ityou enjoy movieKareem Abdul Aziz act role wellkhale El Sawy make great role movienelly good toolebleba beautifuleverybody movie make great good arabic movie everI not know tell watch itfinally movie good," Excellent Film
",10,The Blue Elephant
guy one notice movie use term diagnosis schizophrenia mistakenly know may overlap people schizophrenia not experience another personality another disorder call Dissociative Identity Disorder Multiple Personality Disorder MPD different terminology People diagnose DPD one experience dissociation personality not schizophrenicsplease guy die cuz not find comment regard issue right wrong movie not worthy time," Medically wrong!
",3,The Blue Elephant
long time not see egyptian movie like proud whole crew especially friend Ahmed AL Morsi director photography amazing explaining lighting also Karim abe AL AZ hero first time touchy like talented director mar wan ham Directing cinematography amazing surprised watch movie think foreign film directing soundtrack want thank crew without forget name nelly Karim Mohamed Atia art director music friend Ahmed mo rad great young talented writer thank watching experience," Long time didn't see movie like this Excellent
",10,The Blue Elephant
wait huge line watch movie like Egypt want see read novel go read review bit astounded finish write review would like say acting directing brilliant absolutely excellent problem supposedly base novel name story not read novel go see movie certain story different not surprised great movie highly suggest go watch," Great movie, but the story.. not so much
",7,The Blue Elephant
beginning know movie different first base interesting popular novel write excellent Egyptian Writer Ahmed Mourad direct excellent cinematography amazing really shine scene performance top notch khale el sawy kareem abd el aziz well amazing beautiful Nelly karim although not say actor story intense always question everything infront eye movie quit dare come sex detail go unmentione really get mad well minor development put scene miss well minor stuff ending solid avoid spoiler say go cheap territory somehow overall movie excellent Kareem Abd ElAziz make Current one actor Egypt," A Big Step Forward For Egyptian Movie Industry
",6,The Blue Elephant
first book worm read novel year ago seriously epic one hear mar wan ham director Kareem abe alaziz actor Ahmed mourad writer work together make movie excited see wait much see eventually see today still not believe egyptian movie cinematography sound effectsgraphic directing amazing epic adventure epic movie highly recommend thing mostly admire movie talk thing heritage legend know fear," the most amazing Arabic movie i've ever seen
",10,The Blue Elephant
see good movie indeed keep excited attach first last scene breathtaking tempo base terrific novel write Ahmed Mourad writer probably capture scene camera first perfectly transmit mind word wonder photographer basically cinematography direction Marwan Hamed astonishing egyptian movie novel execute professionally whole cast great especially Khaled Elsawy Nelly Kareem Chapeau Camera movement graphic work match visual state movie put music well complete euphoric state movie movie big forward step Egyptian Cinema not accept go back anymore movie prove good movie make professionalism enthusiasm gain audience appreciation besides money respect audience taste gain everything conclusion movie deserve watch well support till movie Blue Elephant quality," An Egyptian movie with Hollywood standards?!! .. Why not?
",9,The Blue Elephant
first time read novel watch movie base like Ahmed Mourad novel know go see movie day know must read novel first love knew good egyptian movie ever go movie right not like change movie novel good bad opinion not satisfied not enough detail viewer fully understand story event end change degree not sure well bad like anyway think not read book movie would not understand like story not deny movie good long time effect direct cinematography great detail exactly like imagine read effect good egyptian movie soundtrack awesome happy see masterpiece watch least time hope Egypt make movie level," Egypt to a whole new level
",10,The Blue Elephant
film probably different egyptian film ever make bald move good one though plot intriguing last minute performance actor good music great put right climate film cinematography film editing good really surprising egyptian filmI recommend film Egyptian stop follow egyptian film quality drop drastically," A change in the Egyptian cinema
",8,The Blue Elephant
like movie lot plot lot interesting twist turn keep guess pacing good not bore point however think ending little happy credible especially part Sheriff death sentence commute grant not know anything egyptian law not really know believable mean context also LOL dmt pill form trip sequence not seem dmtlike minor quibble heartily recommend anyone like good story," Very cool
",8,The Blue Elephant
dull movie novel steal ENTIRELY movie Tattooist want deceive egyptian cinema usual go see movie novel terrible could not go page full detail grab attention fill plus plagiarism course ever since egyptian cinema industry offer handful good movie one go one scandal offer industry would never recommend piece TERRIBLE work anyone would not spare penny watch movie great Shawshank Redemption widely receive good production cinema history receive meanwhile steal movie receive rater even watch movie even read novel critique unrecommende," A Dull Movie
",1,The Blue Elephant
average film many special effect hide mediocrity story assume film maker think add glossy CGI effect one would notice screenplay really not greatthe film long become tire minute film topsthere film similar idea much well madei would skip," Way too long, overdone
",5,The Blue Elephant
give movie like Egyptian doneI think overrate itmay good direct cinematography regard egyptian movie especially last year accord act screenplay not deserve get full mark movie adaptation good selling novel name red book see movie simple ridiculousthe screenplay fail show real feeling feel read bookfailed make impression main character feel donethe annoying thing not focus main event hallucination main character cause pillsit not focus psychology instead focus much love story Yehya Lobna like egyptian movie acting good consider superficial screenplay especially Kareem Khaled music good kind movie good thing movie direct Marawan ham director Omaret Yakobean Ibraheem Llabyadit excellent accord egyptian movie great cinematography ending movie not goodIt different ending novelthe novel much well conclusion red book not enjoy movie not not understand big defect movie writer novel screenplayer person good accord egyptian cinema accord international cinema," Good directing & cinematography regarding Egyptian movies,but...
",8,The Blue Elephant
one first read novel incredible finish page day read year discover fault like unnecessary situation Yehia know go movie really mad say never gon na make perfect picture imagine thank Karim Abdel Aziz Khaled ElSawy even Nelly Karim not good choice not untalented absolutely not Karim nice guy sense humor like put funny joke drama ElSawy bit old role also also one wonderful actor whole industry finally movie challenge great act wonderful screenplay good director Middle East soundtrack awesome really match film thank whole Crew," My Personal Story with ""The Blue Elephant""
",8,The Blue Elephant
Blue ElephantIt might slow huge elephant wonder could smash brain round minute magical fiction world piecesi adore hilarious sneaky elephant start without script writer genius one ahme mourad move novel big screen go perfect act performance Karim Abd El Aziz Khaled El Sawi clash two giant monster every one try good performance ever especially Karim Abd El Aziz Dryahia rashe role deep emotionally khale el sawi Shereif El Kordy difficult act internal deep emotion screen contrary khale el sawi emotion difficult external one not decrease role one good psychological performance ever egyptian screen ever Nelly Karim Lobna El Kordy not Bad Choice get look experience deliver role lover wife different way Dareen Hadad Maya except Scenes promise good actress film get fundamental issue not percent loyal novel lot important scene delay cancel cause time management story line change Basic Preservative psychological line multirelationship yehia rashad start wife go girlfriend old ex love lot scene end story become not logic watcher not read novel need expand movie time hour loyal novel sound effect ost credit go saint masterpiece Hisham nazih egyptian zimmer magnificent one every single detail appreciation effort really sound get full mark videography visual effect new trip Egypt not realize watch egyptian movie really good egyptian visual movie ever Ahmed el Morsy Ceo Videography elegant unique lot scene horror last thing good experience hope huge push cinema next level rate wahba august," Hopeful Era Of Creative Egyptian Cinemography
",8,The Blue Elephant
first impress film quality story every actor interested every detail film till last scene first time see kind film say new line story not ordinary schizophrenia story also author medical background help well also direct amazing full suspense also actor especially Khaled El Sawy impressive think story rich film divide part find difficulty understand last film scene also story ending usual not good enough like story line," awesome film that deserves watching
",8,The Blue Elephant
watch Blue Elephant Movie would say make big leap level arab MoviesThe cinematography awesome soundtrack good effect trick mediocre compare american movie Actors Performance especially Khaled Saleh good movie succeed teleport novel good way screen except end differ novel bit though case not like end choose would go open end unhappy ending movie overall movie arabic movie fan excellent pretty good american movie fan watch theater course IMDb rating big joke not gon na watch another God Father Shawshank Redemption rating wayMy personal rating movie," A Big Leap For Arabian Movies
",7,The Blue Elephant
first excited see movie read page novel good decide watch movie direct cinematography amazing surprised watch movie think foreign film directing soundtrack like Khaled El Sawy performance perfect Karim Abdel Aziz performance good Nelly Karim decent like storyline much want know would explanation explanation not good lack lot detail important explanation not film novel enjoy film much believe directing film move egyptian cinema far away," amazing
",10,The Blue Elephant
great egyption film really enjoyed watch new experience egyptian cinema first excited see movie read page novel good decide watch movie direct cinematography amazing surprised watch movie think foreign film directing soundtrack like Khaled El Sawy performance perfect Karim Abdel Aziz performance good Nelly Karim decent like storyline much want know would explanation explanation not good lack lot detail important explanation not film novel enjoy film much believe directing film move egyptian cinema far away," excellent
",9,The Blue Elephant
great film wait part two exciting wonderfulthank," The Empror of Egyptian films
",9,The Blue Elephant
good Arabic Middle Eastern thriller horror movie watch," Awesome
",10,The Blue Elephant
novel really entertaining mysterious dark gloomy sense get read novel quite different watch movie honestly feel involved read novel movie overrate Karim abd el aziz not right person play role well nelly karim Karim abd el aziz not deep mysterious yehia novel portray yehya well picture movie character important element movie would not enjoy delicious dish make wrong ingredient quite difficult enjoy movie nelly karim hand spiritless Lobna girl madly love Yehya role require woman sympathetic emotional not get Nelly act Khaled el sawy not good either could tell Acting possess actor choose popularity not good one act role common problem Egypt expect well," The movie isn't exciting as the novel
",6,The Blue Elephant
