title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    Let Me In  ,2010,R,116," Drama, Fantasy, Horror            ",7.1,79,    Matt Reeves  ,      Kodi Smit-McPhee,   Chlo Grace Moretz,   Richard Jenkins,   Cara Buono  ,114038,12130000
    The Invisi le Man  ,2020,R,124," Drama, Horror, Mystery            ",7.1,72,    Leigh Whannell  ,      Elisa eth Moss,   Oliver Jackson-Cohen,   Harriet Dyer,   Aldis Hodge  ,172671,64910000
    Martyrs  ,2008,R,99, Horror            ,7.1,0,    Pascal Laugier  ,      Morjana Alaoui,   Mylne Jampano,   Catherine Bgin,   Ro ert Toupin  ,84154,0
    The Mist  ,2007,R,126," Horror, Sci-Fi, Thriller            ",7.1,0,    Frank Dara ont  ,      Thomas Jane,   Marcia Gay Harden,   Laurie Holden,   Andre Braugher  ,282601,25590000
    Thirst  ,2009,R,134," Drama, Fantasy, Horror            ",7.1,73,    Chan-wook Park  ,      Kang-ho Song,   Kim Ok- in,   Hee-jin Choi,   Dong-soo Seo  ,42976,300000
    The Host  ,2006,R,120," Action, Drama, Horror            ",7.1,85,    Bong Joon Ho  ,      Kang-ho Song,   Byun Hee-Bong,   Park Hae-il,   Bae Doona  ,108640,2200000
    Shutter  ,2004,Not Rated,97," Horror, Mystery, Thriller            ",7.1,0,    Banjong Pisanthanakun   ,       Ananda Everingham,   Natthaweeranuch Thongmee,   Achita Sikamana,   Unnop Chanpai ool    ,41541,0
    The Ring  ,2002,PG-13,115," Horror, Mystery            ",7.1,0,    Gore Ver inski  ,      Naomi Watts,   Martin Henderson,   Brian Cox,   David Dorfman  ,322819,129130000
    Pitch Black  ,2000,R,109," Action, Horror, Sci-Fi            ",7.1,0,    David Twohy  ,      Radha Mitchell,   Cole Hauser,   Vin Diesel,   Keith David  ,226096,39240000
    Climax  ,2018,R,97," Drama, Horror, Music            ",7.0,67,    Gaspar No  ,      Sofia Boutella,   Romain Guillermic,   Souheila Yacou ,   Kiddy Smile  ,54077,800000
    The Platform  ,2019,TV-MA,94," Horror, Sci-Fi, Thriller            ",7.0,73,    Galder Gaztelu-Urrutia  ,      Ivan Massagu,   Zorion Eguileor,   Antonia San Juan,   Emilio Buale  ,169510,0
    Thelma  ,2017,Not Rated,116," Drama, Fantasy, Horror            ",7.0,74,    Joachim Trier  ,      Eili Har oe,   Kaya Wilkins,   Henrik Rafaelsen,   Ellen Dorrit Petersen  ,27080,150000
    The Killing of a Sacred Deer  ,2017,R,121," Drama, Horror, Mystery            ",7.0,73,    Yorgos Lanthimos  ,      Barry G. Bernson,   Her  Caillouet,   Bill Camp,   Raffey Cassidy  ,126676,2290000
    Raw  ,2016,R,99," Drama, Fantasy, Horror            ",7.0,81,    Julia Ducournau  ,      Garance Marillier,   Ella Rumpf,   Ra ah Nait Oufella,   Laurent Lucas  ,61167,510000
    Green Room  ,2015,R,95," Horror, Thriller            ",7.0,79,    Jeremy Saulnier  ,      Anton Yelchin,   Imogen Poots,   Alia Shawkat,   Patrick Stewart  ,108879,3220000
    A Girl Walks Home Alone at Night  ,2014,Not Rated,101," Drama, Horror, Romance            ",7.0,81,    Ana Lily Amirpour  ,      Sheila Vand,   Arash Marandi,   Marshall Manesh,   Mozhan Marn  ,31696,0
    Trollhunter  ,2010,PG-13,103," Drama, Fantasy, Horror            ",7.0,61,    Andr vredal  ,      Otto Jespersen,   Ro ert Stolten erg,   Knut Nrum,   Glenn Erland Tosterud  ,69177,250000
    The Ca in in the Woods  ,2011,R,95, Horror            ,7.0,72,    Drew Goddard  ,      Kristen Connolly,   Chris Hemsworth,   Anna Hutchison,   Fran Kranz  ,378843,42070000
    Orphan  ,2009,R,123," Horror, Mystery, Thriller            ",7.0,0,    Jaume Collet-Serra  ,      Vera Farmiga,   Peter Sarsgaard,   Isa elle Fuhrman,   CCH Pounder  ,192877,41600000
    Planet Terror  ,2007,R,105," Action, Adventure, Comedy            ",7.0,0,    Ro ert Rodriguez  ,      Rose McGowan,   Freddy Rodrguez,   Josh Brolin,   Marley Shelton  ,200675,0
    Cloverfield  ,2008,PG-13,85," Action, Horror, Sci-Fi            ",7.0,64,    Matt Reeves  ,      Mike Vogel,   Jessica Lucas,   Lizzy Caplan,   T.J. Miller  ,374519,80050000
    World War Z  ,2013,PG-13,116," Action, Adventure, Horror            ",7.0,63,    Marc Forster  ,      Brad Pitt,   Mireille Enos,   Daniella Kertesz,   James Badge Dale  ,605107,202360000
    28 Weeks Later  ,2007,R,100," Drama, Horror, Sci-Fi            ",7.0,78,    Juan Carlos Fresnadillo  ,      Jeremy Renner,   Rose Byrne,   Ro ert Carlyle,   Harold Perrineau  ,259674,28640000
    Hell oy II: The Golden Army  ,2008,PG-13,120," Action, Adventure, Fantasy            ",7.0,78,    Guillermo del Toro  ,      Ron Perlman,   Selma Blair,   Doug Jones,   John Alexander  ,256516,75750000
    Constantine  ,2005,R,121," Action, Fantasy, Horror            ",7.0,0,    Francis Lawrence  ,      Keanu Reeves,   Rachel Weisz,   Djimon Hounsou,   Shia LaBeouf  ,309127,75980000
    Koroshiya 1  ,2001,R,129," Action, Comedy, Crime            ",7.0,0,    Takashi Miike  ,         Tadano u Asano,     Nao Ohmori,  Shin    ya Tsukamoto,     Paulyn Sun    ,52533,20000
    Bu  a Ho-Tep  ,2002,R,92," Comedy, Fantasy, Horror            ",7.0,0,    Don Coscarelli  ,      Bruce Camp ell,   Ossie Davis,   Bo  Ivy,   Ella Joyce  ,45892,2000000
    Brotherhood of the Wolf  ,2001,R,142," Action, Adventure, Drama            ",7.0,0,    Christophe Gans  ,      Samuel Le Bihan,   Mark Dacascos,   Jrmie Renier,   Vincent Cassel  ,63135,11260000
    The Witch  ,2015,R,92," Drama, Horror, Mystery            ",6.9,83,    Ro ert Eggers  ,      Anya Taylor-Joy,   Ralph Ineson,   Kate Dickie,   Julian Richings  ,207424,25140000
    Frankenweenie  ,2012,PG,87," Animation, Comedy, Family            ",6.9,74,    Tim Burton  ,         Winona Ryder,  Catherine O    Hara,     Martin Short,     Martin Landau    ,98978,35290000
    The Crimson Rivers  ,2000,R,106," Crime, Horror, Mystery            ",6.9,0,    Mathieu Kassovitz  ,      Jean Reno,   Vincent Cassel,   Nadia Fars,   Dominique Sanda  ,58217,630000
    Shadow of the Vampire  ,2000,R,92," Drama, Horror            ",6.9,71,    E. Elias Merhige  ,      John Malkovich,   Willem Dafoe,   Udo Kier,   Cary Elwes  ,40163,8290000
    Ready or Not  ,2019,R,95," Action, Comedy, Horror            ",6.8,64,    Matt Bettinelli-Olpin   ,          Samara Weaving,     Adam Brody,  Mark O    Brien,     Henry Czerny       ,112657,26740000
    Us  ,2019,R,116," Horror, Mystery, Thriller            ",6.8,81,    Jordan Peele  ,      Lupita Nyong    o,     Winston Duke,     Elisa eth Moss,     Tim Heidecker    ,232926,175080000
    I See You  ,2019,R,98," Crime, Drama, Horror            ",6.8,65,    Adam Randall  ,      Helen Hunt,   Jon Tenney,   Owen Teague,   Judah Lewis  ,31683,0
    The House That Jack Built  ,2018,R,152," Crime, Drama, Horror            ",6.8,0,    Lars von Trier  ,      Matt Dillon,   Bruno Ganz,   Uma Thurman,   Sio han Fallon Hogan  ,60471,90000
    House ound  ,2014,Not Rated,107," Comedy, Horror, Mystery            ",6.8,76,    Gerard Johnstone  ,      Morgana O    Reilly,     Rima Te Wiata,     Glen-Paul Waru,     Ross Harper    ,32178,0
    The Autopsy of Jane Doe  ,2016,R,86," Horror, Mystery, Thriller            ",6.8,65,    Andr vredal  ,      Brian Cox,   Emile Hirsch,   Ophelia Lovi ond,   Michael McElhatton  ,100547,0
    It Follows  ,2014,R,100," Horror, Mystery, Thriller            ",6.8,83,    David Ro ert Mitchell  ,      Maika Monroe,   Keir Gilchrist,   Olivia Luccardi,   Lili Sepe  ,212188,14670000
    Annihilation  ,2018,R,115," Adventure, Drama, Horror            ",6.8,79,    Alex Garland  ,      Natalie Portman,   Jennifer Jason Leigh,   Tessa Thompson,   Benedict Wong  ,283634,32730000
    The Ba adook  ,2014,Not Rated,94," Drama, Horror, Mystery            ",6.8,86,    Jennifer Kent  ,      Essie Davis,   Noah Wiseman,   Daniel Henshall,   Hayley McElhinney  ,198610,920000
    Sinister  ,2012,R,110," Horror, Mystery, Thriller            ",6.8,0,    Scott Derrickson  ,      Ethan Hawke,   Juliet Rylance,   James Ransone,   Fred Thompson  ,223423,48090000
    Stonehearst Asylum  ,2014,PG-13,112," Drama, Horror, Thriller            ",6.8,0,    Brad Anderson  ,      Kate Beckinsale,   Jim Sturgess,   David Thewlis,   Brendan Gleeson  ,52158,0
    Odd Thomas  ,2013,PG-13,97," Comedy, Fantasy, Horror            ",6.8,0,    Stephen Sommers  ,      Anton Yelchin,   Ashley Sommers,   Leonor Varela,   Matthew Page  ,48217,0
    Insidious  ,2010,PG-13,103," Horror, Mystery, Thriller            ",6.8,0,    James Wan  ,      Patrick Wilson,   Rose Byrne,   Ty Simpkins,   Lin Shaye  ,280381,54010000
    Warm Bodies  ,2013,PG-13,98," Comedy, Horror, Romance            ",6.8,0,    Jonathan Levine  ,      Nicholas Hoult,   Teresa Palmer,   John Malkovich,   Analeigh Tipton  ,219950,66380000
    Suspiria  ,2018,R,152," Fantasy, Horror, Mystery            ",6.8,64,    Luca Guadagnino  ,      Chlo Grace Moretz,   Tilda Swinton,   Doris Hick,   Malgorzata Bela  ,63146,2470000
    Eden Lake  ,2008,R,91," Horror, Thriller            ",6.8,65,    James Watkins  ,         Kelly Reilly,     Michael Fass ender,     Tara Ellis,  Jack O    Connell ,77427,10000
    Trick ' r Treat  ,2007,R,82," Comedy, Horror            ",6.8,0,    Michael Dougherty  ,      Anna Paquin,   Brian Cox,   Dylan Baker,   Rochelle Aytes  ,81442,0
    Inside  ,2007,R,82, Horror            ,6.8,0,    Alexandre Bustillo   ,       Alysson Paradis,   Jean-Baptiste Ta ourin,   Claude Lul,   Dominique Frot    ,37683,0
1408,2007,PG-13,104," Fantasy, Horror, Mystery            ",6.8,64,    Mikael Hfstrm  ,      John Cusack,   Samuel L. Jackson,   Mary McCormack,   Tony Shalhou   ,256382,71990000
    The Devil' s Rejects  ,2005,R,107, Horror            ,6.8,0,    Ro  Zom ie  ,      Sid Haig,   Sheri Moon Zom ie,   Bill Moseley,   William Forsythe  ,93667,17040000
    High Tension  ,2003,R,91, Horror            ,6.8,0,    Alexandre Aja  ,      Ccile de France,   Mawenn,   Philippe Nahon,   Franck Khalfoun  ,67975,3680000
    Dog Soldiers  ,2002,R,105," Action, Horror, Thriller            ",6.8,0,    Neil Marshall  ,      Sean Pertwee,   Kevin McKidd,   Emma Cleas y,   Liam Cunningham  ,55822,0
    Ginger Snaps  ,2000,Not Rated,108," Drama, Fantasy, Horror            ",6.8,70,    John Fawcett  ,      Emily Perkins,   Katharine Isa elle,   Kris Lemche,   Mimi Rogers  ,42374,0
    Hell oy  ,2004,PG-13,122," Action, Fantasy, Horror            ",6.8,72,    Guillermo del Toro  ,      Ron Perlman,   Doug Jones,   Selma Blair,   John Hurt  ,307421,59620000
    From Hell  ,2001,R,122," Horror, Mystery, Thriller            ",6.8,0,    Al ert Hughes   ,       Johnny Depp,   Heather Graham,   Ian Holm,   Ro  ie Coltrane    ,147596,31600000
    Run  ,2020,PG-13,90," Horror, Mystery, Thriller            ",6.7,67,    Aneesh Chaganty  ,      Sarah Paulson,   Kiera Allen,   Sara Sohn,   Pat Healy  ,30114,0
    Marrow one  ,2017,R,110," Drama, Horror, Mystery            ",6.7,63,    Sergio G. Snchez  ,      George MacKay,   Anya Taylor-Joy,   Charlie Heaton,   Mia Goth  ,26001,0
    Summer of 84  ,2018,Not Rated,105," Drama, Horror, Mystery            ",6.7,0,    Franois Simard   ,    Graham Verchere,   Judah Lewis,   Cale  Emery,     ,34335,90000
    Tur o Kid  ,2015,Not Rated,93," Action, Adventure, Comedy            ",6.7,0,    Franois Simard   ,    Munro Cham ers,   Laurence Le oeuf,   Michael Ironside,     ,26458,50000
    Goodnight Mommy  ,2014,R,99," Horror, Mystery, Thriller            ",6.7,81,    Severin Fiala   ,       Lukas Schwarz,   Elias Schwarz,   Susanne Wuest,   Hans Escher    ,44987,1170000
    The Call  ,2013,R,94," Crime, Drama, Horror            ",6.7,0,    Brad Anderson  ,      Halle Berry,   Evie Thompson,   A igail Breslin,   Morris Chestnut  ,113513,51870000
    Zom ieland: Dou le Tap  ,2019,R,99," Action, Adventure, Comedy            ",6.7,0,    Ru en Fleischer  ,      Woody Harrelson,   Jesse Eisen erg,   Emma Stone,   A igail Breslin  ,142677,26800000
    Los ojos de Julia  ,2010,Not Rated,118," Horror, Mystery, Thriller            ",6.7,0,    Guillem Morales  ,      Beln Rueda,   Llus Homar,   Pa lo Derqui,   Francesc Orella  ,32996,0
    Rare Exports  ,2010,R,84," Adventure, Fantasy, Horror            ",6.7,71,    Jalmari Helander  ,      Jorma Tommila,   Onni Tommila,   Peeter Jako i,   Tommi Korpela  ,27029,260000
    The Loved Ones  ,2009,R,84," Crime, Drama, Horror            ",6.7,73,    Sean Byrne  ,      Xavier Samuel,   Ro in McLeavy,   John Brumpton,   Richard Wilson  ,37676,0
    Pandorum  ,2009,R,108," Action, Horror, Mystery            ",6.7,0,    Christian Alvart  ,      Dennis Quaid,   Ben Foster,   Cam Gigandet,   Antje Traue  ,144102,10330000
    Fido  ,2006,R,93," Comedy, Drama, Horror            ",6.7,70,    Andrew Currie  ,      Kesun Loder,   Billy Connolly,   Carrie-Anne Moss,   David Kaye  ,28219,300000
    The Exorcism of Emily Rose  ,2005,PG-13,119," Drama, Horror, Thriller            ",6.7,0,    Scott Derrickson  ,      Laura Linney,   Tom Wilkinson,   Shohreh Aghdashloo,   Camp ell Scott  ,120369,75070000
    Ju-on: The Grudge  ,2002,R,92, Horror            ,6.7,0,    Takashi Shimizu  ,      Megumi Okina,   Misaki It,   Misa Uehara,   Yui Ichikawa  ,41503,330000
    The Eye  ,2002,R,99," Drama, Fantasy, Horror            ",6.7,66,    Danny Pang   ,       Angelica Lee,   Chutcha Rujinanon,   Lawrence Chou,   Jinda Duangtoy    ,27997,500000
    Dark Water  ,2002,PG-13,101," Drama, Horror, Mystery            ",6.7,0,    Hideo Nakata  ,      Hitomi Kuroki,   Rio Kanno,   Mirei Oguchi,   Asami Mizukawa  ,30309,0
    Final Destination  ,2000,R,98," Horror, Thriller            ",6.7,0,    James Wong  ,      Devon Sawa,   Ali Larter,   Kerr Smith,   Kristen Cloke  ,230970,53330000
    Blade II  ,2002,R,117," Action, Fantasy, Horror            ",6.7,0,    Guillermo del Toro  ,      Wesley Snipes,   Kris Kristofferson,   Ron Perlman,   Leonor Varela  ,201048,82350000
    Resident Evil  ,2002,R,100," Action, Horror, Sci-Fi            ",6.7,0,    Paul W.S. Anderson  ,      Milla Jovovich,   Michelle Rodriguez,   Ryan McCluskey,   Oscar Pearce  ,248913,40120000
    Life  ,2017,R,104," Horror, Sci-Fi, Thriller            ",6.6,0,    Daniel Espinosa  ,      Jake Gyllenhaal,   Re ecca Ferguson,   Ryan Reynolds,   Hiroyuki Sanada  ,208815,30230000
    Happy Death Day  ,2017,PG-13,96," Comedy, Horror, Mystery            ",6.6,0,    Christopher Landon  ,      Jessica Rothe,   Israel Broussard,   Ru y Modine,   Charles Aitken  ,118422,55680000
    Mother!  ,2017,R,121," Drama, Horror, Mystery            ",6.6,75,    Darren Aronofsky  ,      Jennifer Lawrence,   Javier Bardem,   Ed Harris,   Michelle Pfeiffer  ,193349,17800000
    Hush  ,2016,R,82," Horror, Thriller            ",6.6,67,    Mike Flanagan  ,      John Gallagher Jr.,   Kate Siegel,   Michael Trucco,   Samantha Sloyan  ,105785,0
    The Girl with All the Gifts  ,2016,R,111," Action, Adventure, Drama            ",6.6,67,    Colm McCarthy  ,      Sennia Nanua,   Fisayo Akinade,   Dominique Tipper,   Paddy Considine  ,55308,0
    Overlord  ,2018,R,110," Action, Adventure, Horror            ",6.6,0,    Julius Avery  ,      Jovan Adepo,   Wyatt Russell,   Mathilde Ollivier,   Pilou As k  ,87276,21700000
    Bird Box  ,2018,R,124," Horror, Sci-Fi            ",6.6,0,    Susanne Bier  ,      Sandra Bullock,   Trevante Rhodes,   John Malkovich,   Sarah Paulson  ,283137,0
    Insidious: Chapter 2  ,2013,PG-13,106," Horror, Mystery, Thriller            ",6.6,0,    James Wan  ,      Patrick Wilson,   Rose Byrne,   Bar ara Hershey,   Lin Shaye  ,156336,83590000
    The Final Girls  ,2015,PG-13,91," Comedy, Drama, Fantasy            ",6.6,0,    Todd Strauss-Schulson  ,      Taissa Farmiga,   Malin Akerman,   Adam Devine,   Thomas Middleditch  ,35317,0
    You' re Next  ,2011,R,95," Action, Crime, Horror            ",6.6,66,    Adam Wingard  ,      Sharni Vinson,   Joe Swan erg,   AJ Bowen,   Nicholas Tucci  ,89240,18470000
    Pontypool  ,2008,Not Rated,93," Fantasy, Horror, Thriller            ",6.6,0,    Bruce McDonald  ,      Stephen McHattie,   Lisa Houle,   Georgina Reilly,   Hrant Alianak  ,29497,0
    Antichrist  ,2009,Not Rated,108," Drama, Horror, Thriller            ",6.6,0,    Lars von Trier  ,      Willem Dafoe,   Charlotte Gains ourg,   Storm Acheche Sahlstrm  ,,117368,400000
    Funny Games  ,2007,R,111," Crime, Drama, Horror            ",6.6,0,    Michael Haneke  ,      Naomi Watts,   Tim Roth,   Michael Pitt,   Brady Cor et  ,91222,1290000
    Saw II  ,2005,R,93," Horror, Mystery            ",6.6,0,    Darren Lynn Bousman  ,      Donnie Wahl erg,   Beverley Mitchell,   Franky G,   Emmanuelle Vaugier  ,233879,87040000
    30 Days of Night  ,2007,R,113," Action, Horror, Thriller            ",6.6,0,    David Slade  ,      Josh Hartnett,   Melissa George,   Danny Huston,   Ben Foster  ,165579,39570000
    Dead End  ,2003,R,85," Adventure, Horror, Mystery            ",6.6,0,    Jean-Baptiste Andrea   ,       Ray Wise,   Lin Shaye,   Mick Cain,   Alexandra Holden    ,26522,0
    May  ,2002,R,93," Comedy, Drama, Horror            ",6.6,0,    Lucky McKee  ,      Angela Bettis,   Jeremy Sisto,   Anna Faris,   James Duval  ,33316,150000
    The Gift  ,2000,R,111," Drama, Fantasy, Horror            ",6.6,62,    Sam Raimi  ,      Cate Blanchett,   Katie Holmes,   Keanu Reeves,   Giovanni Ri isi  ,64029,12010000
    What Lies Beneath  ,2000,PG-13,130," Drama, Horror, Mystery            ",6.6,0,    Ro ert Zemeckis  ,      Harrison Ford,   Michelle Pfeiffer,   Katharine Towne,   Miranda Otto  ,118377,155460000
    His House  ,2020,TV-14,93," Drama, Horror, Thriller            ",6.5,72,    Remi Weekes  ,      Sope Dirisu,   Wunmi Mosaku,   Malaika Wakoli-A iga a,   Matt Smith  ,25936,0
